champion_1,champion_2,games,winrate
Thresh,Xayah,3,0.0
Amumu,Jhin,2,0.5
Amumu,Yunara,2,1.0
Amumu,Ziggs,2,1.0
Ashe,Mel,2,1.0
Ashe,Senna,2,1.0
Ashe,Soraka,2,0.5
Ashe,Taric,2,0.5
Ashe,Thresh,2,0.5
Bard,Draven,2,0.0
Bard,Tristana,2,0.5
Blitzcrank,Draven,2,0.5
Blitzcrank,Jinx,2,0.5
Blitzcrank,Tristana,2,0.0
Brand,Leona,2,0.0
Brand,Rell,2,0.0
Camille,Kalista,2,0.0
Camille,Miss Fortune,2,0.5
Camille,Taliyah,2,0.5
Camille,Viktor,2,1.0
Cassiopeia,Shen,2,1.0
Corki,Elise,2,0.5
Corki,Lulu,2,1.0
Corki,Shen,2,0.5
Corki,Zyra,2,0.0
Draven,Leona,2,1.0
Ezreal,Senna,2,0.5
Ezreal,Tahm Kench,2,0.0
Hwei,Nautilus,2,0.5
Janna,Tristana,2,0.5
Janna,Yunara,2,0.0
Jhin,Pantheon,2,0.0
Jhin,Rumble,2,0.5
Jinx,Poppy,2,0.0
Jinx,Seraphine,2,0.5
Jinx,Shen,2,0.5
Jinx,Soraka,2,1.0
Kai'Sa,Maokai,2,0.5
Kalista,Karma,2,0.5
Kalista,Pyke,2,0.5
Kalista,Rell,2,0.5
Kalista,Soraka,2,0.5
Karma,Lux,2,0.5
Karma,Senna,2,0.5
Karma,Tristana,2,1.0
Kog'Maw,Nami,2,0.0
Kog'Maw,Nautilus,2,0.5
Leona,Lux,2,0.5
Leona,Syndra,2,0.5
Lucian,Poppy,2,0.0
Lucian,Pyke,2,0.5
Lucian,Rakan,2,1.0
Lucian,Renata Glasc,2,0.5
Lucian,Sylas,2,0.5
Lulu,Miss Fortune,2,0.0
Lux,Varus,2,0.0
Mel,Neeko,2,0.5
Mel,Seraphine,2,0.5
Milio,Tristana,2,0.5
Milio,Vayne,2,0.5
Miss Fortune,Pyke,2,1.0
Nautilus,Samira,2,0.0
Nautilus,Yasuo,2,0.5
Neeko,Vayne,2,0.5
Pantheon,Zeri,2,1.0
Pyke,Samira,2,0.0
Pyke,Sivir,2,1.0
Pyke,Tristana,2,0.0
Rakan,Seraphine,2,0.0
Rakan,Vladimir,2,0.5
Rakan,Yasuo,2,0.5
Rell,Viktor,2,1.0
Senna,Varus,2,0.0
Senna,Yasuo,2,0.0
Seraphine,Xayah,2,0.5
Sivir,Thresh,2,0.5
Skarner,Varus,2,0.5
Smolder,Tahm Kench,2,0.5
Smolder,Taric,2,0.0
Smolder,Thresh,2,0.5
Thresh,Tristana,2,0.5
Yunara,Yuumi,2,0.0
Alistar,Kalista,1,0.0
Alistar,Syndra,1,1.0
Alistar,Vel'Koz,1,1.0
Amumu,Corki,1,0.0
Amumu,Kai'Sa,1,1.0
Amumu,Kalista,1,0.0
Amumu,Miss Fortune,1,1.0
Amumu,Sivir,1,0.0
Amumu,Varus,1,0.0
Anivia,Jinx,1,1.0
Anivia,Miss Fortune,1,0.0
Anivia,Rell,1,1.0
Annie,Blitzcrank,1,1.0
Annie,Caitlyn,1,1.0
Annie,Corki,1,1.0
Aphelios,Nami,1,1.0
Aphelios,Pantheon,1,0.0
Aphelios,Pyke,1,0.0
Aphelios,Sett,1,1.0
Aphelios,Sona,1,0.0
Aphelios,Soraka,1,0.0
Aphelios,Taliyah,1,1.0
Ashe,Blitzcrank,1,1.0
Ashe,Heimerdinger,1,0.0
Ashe,LeBlanc,1,1.0
Ashe,Morgana,1,1.0
Ashe,Nami,1,0.0
Ashe,Renata Glasc,1,1.0
Ashe,Shen,1,1.0
Ashe,Sona,1,0.0
Ashe,Varus,1,1.0
Ashe,Vel'Koz,1,1.0
Ashe,Yunara,1,0.0
Blitzcrank,Mel,1,1.0
Blitzcrank,Senna,1,1.0
Blitzcrank,Sivir,1,0.0
Blitzcrank,Syndra,1,1.0
Blitzcrank,Vayne,1,0.0
Blitzcrank,Viktor,1,0.0
Blitzcrank,Yasuo,1,0.0
Brand,Maokai,1,0.0
Braum,Kalista,1,1.0
Braum,Senna,1,1.0
Braum,Vayne,1,0.0
Braum,Ziggs,1,0.0
Caitlyn,Heimerdinger,1,0.0
Caitlyn,Janna,1,1.0
Caitlyn,Pantheon,1,1.0
Caitlyn,Senna,1,0.0
Caitlyn,Skarner,1,0.0
Caitlyn,Soraka,1,1.0
Caitlyn,Taric,1,0.0
Camille,Cassiopeia,1,1.0
Camille,Hwei,1,1.0
Camille,Samira,1,1.0
Camille,Seraphine,1,0.0
Camille,Sylas,1,0.0
Camille,Tristana,1,0.0
Camille,Xayah,1,0.0
Camille,Yasuo,1,1.0
Camille,Yunara,1,0.0
Camille,Zeri,1,1.0
Cassiopeia,Leona,1,1.0
Cassiopeia,Pyke,1,1.0
Corki,Galio,1,0.0
Corki,LeBlanc,1,0.0
Corki,Morgana,1,0.0
Corki,Pantheon,1,1.0
Corki,Renata Glasc,1,0.0
Corki,Zilean,1,0.0
Draven,Ezreal,1,1.0
Draven,Nidalee,1,1.0
Draven,Renata Glasc,1,0.0
Draven,Thresh,1,1.0
Elise,Kalista,1,0.0
Elise,Mel,1,1.0
Elise,Tristana,1,1.0
Elise,Yunara,1,0.0
Elise,Ziggs,1,0.0
Ezreal,Hwei,1,0.0
Ezreal,Janna,1,1.0
Ezreal,Jax,1,0.0
