champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Yuumi,UTILITY,79,0.405063,0.303661,0.006733,0.003579,0.010312,stable (+0.000)
Nidalee,UTILITY,4,0.750000,0.300636,0.000341,0.006136,0.006477,stable (+0.000)
Senna,UTILITY,19,0.473684,0.273295,0.001619,0.007840,0.009460,stable (+0.000)
Skarner,UTILITY,15,0.466667,0.248092,0.001278,0.037157,0.038435,stable (+0.000)
Pantheon,UTILITY,21,0.428571,0.244697,0.001790,0.238111,0.239901,hausse (+0.020)
Janna,UTILITY,10,0.500000,0.236590,0.000852,0.001534,0.002386,stable (+0.000)
Tahm Kench,UTILITY,22,0.409091,0.232556,0.001875,0.000852,0.002727,stable (+0.000)
Maokai,UTILITY,11,0.454545,0.212710,0.000937,0.004943,0.005880,stable (+0.000)
LeBlanc,UTILITY,3,0.666667,0.207655,0.000256,0.093574,0.093830,stable (+0.000)
Ezreal,UTILITY,1,1.000000,0.206543,0.000085,0.156127,0.156213,stable (+0.000)
K'Sante,UTILITY,1,1.000000,0.206543,0.000085,0.091529,0.091614,stable (+0.000)
Lee Sin,UTILITY,1,1.000000,0.206543,0.000085,0.073632,0.073717,stable (+0.000)
Nocturne,UTILITY,1,1.000000,0.206543,0.000085,0.304926,0.305011,stable (+0.000)
Shaco,UTILITY,1,1.000000,0.206543,0.000085,0.000511,0.000597,stable (+0.000)
Taliyah,UTILITY,1,1.000000,0.206543,0.000085,0.074996,0.075081,stable (+0.000)
Sona,UTILITY,12,0.416667,0.193257,0.001023,0.000682,0.001704,stable (+0.000)
Mel,UTILITY,5,0.400000,0.117618,0.000426,0.061190,0.061616,stable (+0.000)
Sylas,UTILITY,6,0.333333,0.096769,0.000511,0.052667,0.053179,stable (+0.000)
Ashe,UTILITY,2,0.500000,0.094529,0.000170,0.133799,0.133970,stable (+0.000)
Lissandra,UTILITY,2,0.500000,0.094529,0.000170,0.006988,0.007159,stable (+0.000)
Rumble,UTILITY,2,0.500000,0.094529,0.000170,0.349242,0.349412,stable (+0.000)
Sett,UTILITY,2,0.500000,0.094529,0.000170,0.000511,0.000682,stable (+0.000)
Vel'Koz,UTILITY,2,0.500000,0.094529,0.000170,0.000341,0.000511,stable (+0.000)
Zac,UTILITY,2,0.500000,0.094529,0.000170,0.004432,0.004602,stable (+0.000)
Fiddlesticks,UTILITY,3,0.333333,0.061490,0.000256,0.001023,0.001278,stable (+0.000)
Taric,UTILITY,12,0.166667,0.046964,0.001023,0.001364,0.002386,stable (+0.000)
Zyra,UTILITY,7,0.142857,0.025679,0.000597,0.007159,0.007755,stable (+0.000)
Galio,UTILITY,8,0.125000,0.022417,0.000682,0.061701,0.062383,stable (+0.000)
Zilean,UTILITY,9,0.111111,0.019890,0.000767,0.000682,0.001449,stable (+0.000)
Gragas,UTILITY,2,0.000000,0.000000,0.000170,0.005966,0.006136,stable (+0.000)
Heimerdinger,UTILITY,2,0.000000,0.000000,0.000170,0.005625,0.005795,stable (+0.000)
Hwei,UTILITY,1,0.000000,0.000000,0.000085,0.016874,0.016959,stable (+0.000)
Jax,UTILITY,1,0.000000,0.000000,0.000085,0.042611,0.042696,stable (+0.000)
Mordekaiser,UTILITY,1,0.000000,0.000000,0.000085,0.000682,0.000767,stable (+0.000)
Orianna,UTILITY,1,0.000000,0.000000,0.000085,0.611386,0.611471,stable (+0.000)
Swain,UTILITY,1,0.000000,0.000000,0.000085,0.003750,0.003835,stable (+0.000)
Trundle,UTILITY,1,0.000000,0.000000,0.000085,0.032044,0.032129,stable (+0.000)
Tryndamere,UTILITY,1,0.000000,0.000000,0.000085,0.000341,0.000426,stable (+0.000)
Zaahen,UTILITY,1,0.000000,0.000000,0.000085,0.047043,0.047128,stable (+0.000)
