champion_1,champion_2,games,winrate
Karma,Rumble,1,0.0
Karma,Talon,1,1.0
Karma,Tryndamere,1,0.0
Karma,Urgot,1,1.0
Karma,Zac,1,0.0
Karthus,Milio,1,1.0
Kayn,Nami,1,0.0
Kayn,Nautilus,1,0.0
Kha'Zix,Lux,1,1.0
Kha'Zix,Pantheon,1,1.0
Kha'Zix,Thresh,1,1.0
Kindred,Lulu,1,0.0
Kindred,Milio,1,0.0
Kindred,Pantheon,1,1.0
Kindred,Pyke,1,0.0
Kindred,Shen,1,0.0
Kindred,Skarner,1,0.0
LeBlanc,Nocturne,1,0.0
LeBlanc,Pantheon,1,1.0
LeBlanc,Trundle,1,1.0
Lee Sin,Maokai,1,0.0
Lee Sin,Soraka,1,1.0
Lee Sin,Tahm Kench,1,0.0
Lee Sin,Tristana,1,1.0
Leona,Master Yi,1,0.0
Leona,Nasus,1,0.0
Leona,Neeko,1,1.0
Leona,Rengar,1,1.0
Leona,Rumble,1,0.0
Leona,Shen,1,0.0
Leona,Sion,1,0.0
Leona,Urgot,1,0.0
Lillia,Lulu,1,1.0
Lillia,Poppy,1,1.0
Lillia,Zac,1,1.0
Lulu,Morgana,1,1.0
Lulu,Nautilus,1,1.0
Lulu,Rammus,1,1.0
Lulu,Taliyah,1,1.0
Lulu,Viego,1,1.0
Lulu,Zac,1,0.0
Lulu,Zyra,1,0.0
Lux,Poppy,1,0.0
Lux,Trundle,1,1.0
Lux,Volibear,1,0.0
Malphite,Nidalee,1,1.0
Malphite,Orianna,1,0.0
Malphite,Pantheon,1,1.0
Malphite,Poppy,1,1.0
Malphite,Shen,1,1.0
Malphite,Sona,1,0.0
Malphite,Tahm Kench,1,0.0
Malphite,Zaahen,1,0.0
Malphite,Zyra,1,0.0
Maokai,Nocturne,1,1.0
Maokai,Pyke,1,0.0
Maokai,Soraka,1,1.0
Maokai,Trundle,1,1.0
Maokai,Udyr,1,1.0
Maokai,Xin Zhao,1,0.0
Master Yi,Nautilus,1,0.0
Master Yi,Seraphine,1,1.0
Mel,Nocturne,1,0.0
Mel,Vi,1,1.0
Mel,Wukong,1,0.0
Milio,Nautilus,1,1.0
Milio,Sion,1,1.0
Milio,Sylas,1,0.0
Milio,Udyr,1,0.0
Milio,Volibear,1,1.0
Mordekaiser,Thresh,1,0.0
Morgana,Naafiri,1,1.0
Morgana,Nami,1,0.0
Morgana,Nautilus,1,0.0
Morgana,Nocturne,1,1.0
Morgana,Sejuani,1,1.0
Morgana,Wukong,1,1.0
Naafiri,Senna,1,1.0
Naafiri,Sona,1,1.0
Naafiri,Taric,1,0.0
Nami,Nidalee,1,0.0
Nami,Nunu & Willump,1,1.0
Nami,Olaf,1,0.0
Nami,Ornn,1,0.0
Nami,Udyr,1,1.0
Nami,Zyra,1,1.0
Nasus,Neeko,1,1.0
Nasus,Pyke,1,0.0
Nasus,Rell,1,1.0
Nasus,Renata Glasc,1,1.0
Nasus,Shen,1,0.0
Nasus,Thresh,1,0.0
Nautilus,Neeko,1,0.0
Nautilus,Nunu & Willump,1,1.0
Nautilus,Rek'Sai,1,0.0
Nautilus,Rumble,1,1.0
Nautilus,Shen,1,1.0
Nautilus,Talon,1,1.0
Nautilus,Zed,1,0.0
Neeko,Nunu & Willump,1,0.0
Neeko,Taliyah,1,1.0
Neeko,Tryndamere,1,0.0
Neeko,Udyr,1,0.0
Neeko,Volibear,1,0.0
Neeko,Zac,1,0.0
Nidalee,Nocturne,1,1.0
Nidalee,Pyke,1,0.0
Nidalee,Sylas,1,1.0
Nidalee,Thresh,1,1.0
Nidalee,Vi,1,0.0
Nocturne,Senna,1,0.0
Nocturne,Sylas,1,0.0
Nocturne,Syndra,1,1.0
Nocturne,Zilean,1,1.0
Olaf,Poppy,1,1.0
Olaf,Pyke,1,1.0
Olaf,Yuumi,1,0.0
Ornn,Taric,1,0.0
Pantheon,Rek'Sai,1,0.0
Pantheon,Sett,1,1.0
Pantheon,Shyvana,1,0.0
Pantheon,Sona,1,0.0
Pantheon,Swain,1,0.0
Pantheon,Sylas,1,0.0
Pantheon,Taric,1,0.0
Pantheon,Xin Zhao,1,0.0
Poppy,Pyke,1,1.0
Poppy,Rengar,1,1.0
Poppy,Sejuani,1,0.0
Poppy,Shen,1,0.0
Poppy,Tahm Kench,1,1.0
Poppy,Taliyah,1,0.0
Pyke,Shyvana,1,1.0
Pyke,Taliyah,1,0.0
Pyke,Zaahen,1,0.0
Rakan,Shaco,1,1.0
Rakan,Zac,1,0.0
Rammus,Rell,1,0.0
Rek'Sai,Sona,1,0.0
Rek'Sai,Tahm Kench,1,1.0
Rek'Sai,Taric,1,0.0
Rek'Sai,Thresh,1,0.0
Rell,Shen,1,1.0
Rell,Shyvana,1,0.0
Rell,Volibear,1,0.0
Rell,Zac,1,0.0
Renata Glasc,Shyvana,1,1.0
Renata Glasc,Skarner,1,0.0
Renata Glasc,Trundle,1,0.0
Renata Glasc,Volibear,1,0.0
Rumble,Wukong,1,1.0
Sejuani,Tahm Kench,1,1.0
Sejuani,Taric,1,0.0
Sejuani,Zilean,1,0.0
Senna,Vi,1,0.0
Senna,Zaahen,1,1.0
Seraphine,Sett,1,0.0
Seraphine,Shaco,1,0.0
Seraphine,Shyvana,1,0.0
Seraphine,Sylas,1,1.0
Seraphine,Talon,1,0.0
Shyvana,Taric,1,0.0
Skarner,Soraka,1,0.0
Skarner,Sylas,1,1.0
Skarner,Tahm Kench,1,0.0
Skarner,Thresh,1,0.0
Skarner,Xin Zhao,1,1.0
Sona,Trundle,1,1.0
Sona,Vi,1,0.0
Sona,Viego,1,0.0
Sona,Wukong,1,1.0
Sona,Xin Zhao,1,0.0
Sona,Zaahen,1,1.0
Soraka,Vi,1,1.0
Sylas,Thresh,1,1.0
Sylas,Viego,1,1.0
Tahm Kench,Vi,1,0.0
Tahm Kench,Wukong,1,0.0
Taliyah,Wukong,1,1.0
Taric,Xin Zhao,1,1.0
Taric,Zyra,1,1.0
Thresh,Viego,1,0.0
Thresh,Volibear,1,1.0
Thresh,Zac,1,1.0
Thresh,Zyra,1,0.0
Trundle,Xin Zhao,1,0.0
Trundle,Zilean,1,0.0
Udyr,Zilean,1,0.0
Urgot,Zilean,1,0.0
Vel'Koz,Vi,1,1.0
Vel'Koz,Xin Zhao,1,0.0
Vi,Zyra,1,1.0
Wukong,Zilean,1,0.0
Xin Zhao,Zyra,1,0.0
Yuumi,Zaahen,1,0.0
Yuumi,Zyra,1,0.0
Zaahen,Zyra,1,0.0
