champion_1,champion_2,games,winrate
Renata Glasc,Vi,16,0.5625
Aatrox,Leona,15,0.4667
Alistar,Trundle,15,0.7333
Lee Sin,Pyke,15,0.4
Lulu,Sejuani,15,0.5333
Neeko,Skarner,15,0.5333
Nocturne,Pyke,15,0.6667
Ambessa,Nami,14,0.6429
Ambessa,Rell,14,0.5
Anivia,Xin Zhao,14,0.6429
Nautilus,Qiyana,14,0.4286
Neeko,Sejuani,14,0.5
Pantheon,Renata Glasc,14,0.2143
Pantheon,Thresh,14,0.5
Pyke,Xin Zhao,14,0.6429
Aatrox,Rell,13,0.3846
Alistar,Malphite,13,0.5385
Alistar,Skarner,13,0.7692
Ambessa,Lulu,13,0.6154
Anivia,Jarvan IV,13,0.3846
Braum,Dr. Mundo,13,0.5385
Jayce,Leona,13,0.6923
Nami,Qiyana,13,0.3846
Nautilus,Olaf,13,0.5385
Nautilus,Viego,13,0.2308
Neeko,Qiyana,13,0.6154
Olaf,Seraphine,13,0.0769
Pyke,Vi,13,0.5385
Rell,Zaahen,13,0.6154
Renata Glasc,Wukong,13,0.3846
Thresh,Vi,13,0.3077
Thresh,Wukong,13,0.2308
Thresh,Xin Zhao,13,0.4615
Aatrox,Milio,12,0.4167
Dr. Mundo,Leona,12,0.25
Jayce,Neeko,12,0.1667
Karma,Sejuani,12,0.5
Leona,Trundle,12,0.6667
Leona,Viego,12,0.5
Nami,Sejuani,12,0.4167
Poppy,Vi,12,0.4167
Qiyana,Rell,12,0.6667
Rakan,Skarner,12,0.3333
Rakan,Trundle,12,0.4167
Rell,Viego,12,0.4167
Bard,Zaahen,11,0.5455
Braum,Zaahen,11,0.9091
Jarvan IV,Renata Glasc,11,0.6364
Nocturne,Yuumi,11,0.6364
Poppy,Rell,11,0.8182
Poppy,Wukong,11,0.6364
Pyke,Wukong,11,0.6364
Rek'Sai,Seraphine,11,0.6364
Xin Zhao,Yuumi,11,0.3636
Alistar,Viego,10,0.2
Anivia,Pantheon,10,0.5
Braum,Skarner,10,0.3
Camille,Wukong,10,0.4
Jarvan IV,Shen,10,0.5
Jayce,Rakan,10,0.6
Jayce,Rell,10,0.6
Karma,Malphite,10,0.6
Maokai,Nami,10,0.2
Milio,Sejuani,10,0.6
Nautilus,Poppy,10,0.1
Nautilus,Zyra,10,0.5
Pantheon,Poppy,10,0.5
Anivia,Vi,9,0.7778
Blitzcrank,Jarvan IV,9,0.7778
Braum,Jayce,9,0.4444
Braum,Nocturne,9,0.5556
Braum,Sejuani,9,0.3333
Braum,Trundle,9,0.3333
Dr. Mundo,Thresh,9,0.6667
Ivern,Leona,9,0.5556
Karma,Maokai,9,0.3333
Karma,Olaf,9,0.5556
Lee Sin,Poppy,9,0.6667
Lulu,Qiyana,9,0.5556
Malphite,Nami,9,0.6667
Malphite,Neeko,9,0.7778
Naafiri,Thresh,9,0.2222
Nautilus,Nidalee,9,0.5556
Neeko,Poppy,9,0.4444
Nocturne,Renata Glasc,9,0.1111
Rakan,Sejuani,9,0.4444
Rell,Sejuani,9,0.4444
Shen,Vi,9,0.7778
Bard,Kha'Zix,8,0.5
Blitzcrank,Wukong,8,0.625
Camille,Jarvan IV,8,0.75
Camille,Pantheon,8,0.625
Elise,Taliyah,8,0.875
Ivern,Nautilus,8,0.375
Jarvan IV,Lux,8,0.75
Jarvan IV,Yuumi,8,0.5
Jax,Nautilus,8,0.75
Jayce,Nami,8,0.5
Karma,Qiyana,8,0.5
Kha'Zix,Neeko,8,0.5
Leona,Zyra,8,0.25
Malphite,Rakan,8,0.75
Nami,Poppy,8,0.75
Nocturne,Poppy,8,0.375
Shen,Wukong,8,0.5
Vi,Yuumi,8,0.25
Ambessa,Braum,7,0.4286
Bard,Malphite,7,0.4286
